age_grp_2	A
(75,103]	3.21071E-05
(75,103]	3.20695E-05
(75,103]	3.21938E-05
(75,103]	3.15027E-05
(75,103]	3.08013E-05
(75,103]	3.02432E-05
(75,103]	3.06689E-05
(75,103]	3.00313E-05
(75,103]	3.39734E-05
(75,103]	3.39092E-05
(75,103]	3.5647E-05
(75,103]	3.17478E-05
(75,103]	2.65068E-05
(75,103]	3.33543E-05
(75,103]	2.99976E-05
(75,103]	3.10608E-05
(75,103]	3.42014E-05
(75,103]	3.31934E-05
(75,103]	3.26314E-05
(75,103]	3.16351E-05
(75,103]	3.30027E-05
(1,25]	3.29072E-05
(1,25]	3.01098E-05
(1,25]	3.08124E-05
(1,25]	3.24833E-05
(1,25]	3.1611E-05
(1,25]	3.04796E-05
(1,25]	2.97632E-05
(1,25]	3.01813E-05
(1,25]	2.90076E-05
(1,25]	3.01623E-05
(1,25]	2.99476E-05
(1,25]	3.05861E-05
(1,25]	3.23885E-05
(1,25]	3.21334E-05
(1,25]	3.01545E-05
(1,25]	2.99017E-05
(1,25]	3.08872E-05
(1,25]	2.96174E-05
(1,25]	3.02873E-05
(1,25]	3.00732E-05
(1,25]	3.19894E-05
(1,25]	3.00491E-05
(1,25]	2.87001E-05
(1,25]	2.93016E-05
(1,25]	2.992E-05
(1,25]	2.9941E-05
(1,25]	2.96279E-05
(1,25]	3.14764E-05
(1,25]	3.12231E-05
(1,25]	2.9411E-05
(1,25]	2.97473E-05
(1,25]	3.06001E-05
(1,25]	2.94758E-05
(1,25]	2.99907E-05
(1,25]	3.19748E-05
(1,25]	3.00244E-05
(1,25]	3.06412E-05
(1,25]	3.15101E-05
(1,25]	3.13177E-05
(1,25]	3.13913E-05
(1,25]	2.96534E-05
(1,25]	3.0231E-05
(1,25]	3.14777E-05
(1,25]	2.97191E-05
(1,25]	2.99788E-05
(50,75]	3.22823E-05
(50,75]	2.98915E-05
(50,75]	3.25873E-05
(50,75]	3.10843E-05
(50,75]	2.93989E-05
(50,75]	2.87547E-05
(50,75]	2.95616E-05
(50,75]	2.81898E-05
(50,75]	2.82238E-05
(50,75]	3.05772E-05
(50,75]	2.58507E-05
(50,75]	2.99199E-05
(50,75]	2.76618E-05
(50,75]	2.79187E-05
(50,75]	2.82431E-05
(50,75]	3.16771E-05
(50,75]	2.87235E-05
(50,75]	3.17945E-05
(50,75]	3.1783E-05
(50,75]	3.31127E-05
(50,75]	2.99403E-05
(50,75]	3.33044E-05
(50,75]	3.18281E-05
(50,75]	3.17385E-05
(50,75]	3.10417E-05
(50,75]	3.22797E-05
(50,75]	2.66149E-05
(50,75]	3.1637E-05
(50,75]	3.10905E-05
(50,75]	3.13349E-05
(50,75]	3.09142E-05
(50,75]	3.49972E-05
(50,75]	3.14006E-05
(50,75]	3.11359E-05
(50,75]	3.22884E-05
(50,75]	2.84985E-05
(50,75]	3.04099E-05
(50,75]	3.05707E-05
(50,75]	2.77334E-05
(50,75]	2.76888E-05
(50,75]	3.02138E-05
(50,75]	2.48725E-05
(50,75]	3.19293E-05
(50,75]	2.77761E-05
(50,75]	2.87056E-05
(50,75]	2.72482E-05
(50,75]	3.18125E-05
(50,75]	2.92127E-05
(50,75]	3.13426E-05
(50,75]	2.85941E-05
(50,75]	3.06237E-05
(50,75]	2.90375E-05
(50,75]	2.71568E-05
(50,75]	2.78606E-05
(50,75]	2.79941E-05
(50,75]	2.72655E-05
(50,75]	3.16287E-05
(50,75]	2.97408E-05
(50,75]	2.85824E-05
(50,75]	2.93407E-05
(50,75]	3.21432E-05
(50,75]	2.9518E-05
(25,50]	3.66122E-05
(25,50]	3.5203E-05
(25,50]	3.4964E-05
(25,50]	3.53187E-05
(25,50]	3.28818E-05
(25,50]	3.60483E-05
(25,50]	3.65845E-05
(25,50]	3.40763E-05
(25,50]	3.55758E-05
(25,50]	3.37909E-05
(25,50]	2.97856E-05
(25,50]	3.45985E-05
(25,50]	3.30854E-05
(25,50]	3.52877E-05
(25,50]	3.40047E-05
(25,50]	2.95151E-05
(25,50]	3.38125E-05
(25,50]	3.13196E-05
(25,50]	3.32566E-05
(25,50]	2.9789E-05
(25,50]	3.61504E-05
(25,50]	3.10336E-05
(25,50]	3.09378E-05
(25,50]	3.34675E-05
(25,50]	3.27149E-05
(75,103]	3.3708E-05
(75,103]	3.19697E-05
(75,103]	2.96803E-05
(75,103]	3.07283E-05
(75,103]	3.21364E-05
(75,103]	3.08357E-05
(75,103]	3.38776E-05
(75,103]	3.3457E-05
(75,103]	3.30584E-05
(75,103]	3.42894E-05
(75,103]	3.09764E-05
(75,103]	2.7479E-05
(75,103]	3.27511E-05
(75,103]	3.00955E-05
(75,103]	3.08839E-05
(75,103]	3.32672E-05
(75,103]	3.46927E-05
(75,103]	3.46474E-05
(75,103]	3.1948E-05
(75,103]	3.05292E-05
(75,103]	3.56176E-05
(75,103]	3.2627E-05
(75,103]	3.47706E-05
(75,103]	3.41066E-05
(75,103]	3.36684E-05
(75,103]	3.24993E-05
(75,103]	3.43096E-05
(75,103]	3.14567E-05
(75,103]	3.4056E-05
(75,103]	3.24953E-05
(75,103]	3.15759E-05
(75,103]	3.09579E-05
(75,103]	3.39042E-05
(75,103]	3.36103E-05
(75,103]	3.44421E-05
(75,103]	3.67021E-05
(75,103]	3.72008E-05
(75,103]	3.54569E-05
(75,103]	2.93405E-05
(50,75]	3.86948E-05
(50,75]	3.69709E-05
(50,75]	3.76303E-05
(50,75]	3.43083E-05
(50,75]	3.5413E-05
(50,75]	3.5352E-05
(50,75]	2.39535E-05
(50,75]	3.49966E-05
(50,75]	3.30988E-05
(50,75]	3.27885E-05
(50,75]	3.08306E-05
(50,75]	3.82015E-05
(50,75]	3.28766E-05
(50,75]	3.56207E-05
(50,75]	3.71186E-05
(50,75]	3.61836E-05
(50,75]	3.62543E-05
(50,75]	3.49138E-05
(50,75]	2.57872E-05
(50,75]	3.31587E-05
(50,75]	3.1854E-05
(50,75]	3.22144E-05
(50,75]	3.11629E-05
(50,75]	3.75763E-05
(50,75]	3.2402E-05
(75,103]	3.32203E-05
(75,103]	3.28146E-05
(75,103]	3.16316E-05
(75,103]	3.35527E-05
(75,103]	3.08663E-05
(75,103]	3.29431E-05
(75,103]	2.79976E-05
(75,103]	3.3051E-05
(75,103]	2.90962E-05
(75,103]	2.9296E-05
(75,103]	2.96125E-05
(75,103]	3.19852E-05
(75,103]	3.22776E-05
(75,103]	3.2042E-05
(75,103]	3.52967E-05
(75,103]	3.44514E-05
(75,103]	3.22561E-05
(75,103]	3.09016E-05
(50,75]	3.59838E-05
(50,75]	3.39508E-05
(50,75]	3.4215E-05
(50,75]	3.44484E-05
(50,75]	2.63806E-05
(50,75]	3.4272E-05
(50,75]	3.26398E-05
(50,75]	3.4273E-05
(50,75]	3.2013E-05
(50,75]	3.91575E-05
(50,75]	3.35531E-05
(75,103]	3.16973E-05
(75,103]	2.98845E-05
(75,103]	3.19836E-05
(75,103]	2.97113E-05
(75,103]	3.23326E-05
(75,103]	2.84835E-05
(75,103]	3.17724E-05
(75,103]	2.84189E-05
(75,103]	3.05701E-05
(75,103]	2.92191E-05
(75,103]	3.15627E-05
(75,103]	2.94482E-05
(75,103]	3.18932E-05
(75,103]	3.12946E-05
(75,103]	3.20494E-05
(75,103]	3.3082E-05
(75,103]	2.81816E-05
(75,103]	3.1546E-05
(75,103]	3.22817E-05
(75,103]	2.89648E-05
(75,103]	3.23201E-05
(75,103]	2.98403E-05
(75,103]	3.25311E-05
(75,103]	2.78728E-05
(75,103]	2.95717E-05
(75,103]	2.80719E-05
(75,103]	3.36893E-05
(75,103]	3.17231E-05
(75,103]	3.15012E-05
(75,103]	3.25937E-05
(75,103]	3.32924E-05
(75,103]	3.40577E-05
(75,103]	2.84026E-05
(50,75]	3.47145E-05
(50,75]	3.4746E-05
(50,75]	3.45004E-05
(50,75]	2.5748E-05
(50,75]	3.51537E-05
(50,75]	3.28025E-05
(50,75]	3.32575E-05
(50,75]	3.05922E-05
(50,75]	3.78958E-05
(50,75]	3.30777E-05
(50,75]	3.57438E-05
(50,75]	3.49451E-05
(50,75]	2.46055E-05
(50,75]	3.2513E-05
(50,75]	3.24499E-05
(50,75]	3.30232E-05
(50,75]	3.22521E-05
(50,75]	3.67113E-05
(50,75]	3.30681E-05
(50,75]	3.48637E-05
(50,75]	2.39665E-05
(50,75]	3.20353E-05
(50,75]	3.2198E-05
(50,75]	3.1921E-05
(50,75]	3.00508E-05
(50,75]	3.64442E-05
(50,75]	3.26334E-05
(50,75]	2.55223E-05
(50,75]	3.28023E-05
(50,75]	3.15683E-05
(50,75]	3.19595E-05
(50,75]	3.04021E-05
(50,75]	3.59133E-05
(50,75]	3.38291E-05
(1,25]	3.23132E-05
(1,25]	3.47741E-05
(1,25]	3.09559E-05
(1,25]	3.50935E-05
(1,25]	3.32222E-05
(1,25]	3.37599E-05
(1,25]	3.44678E-05
(1,25]	3.31837E-05
(1,25]	3.52446E-05
(1,25]	3.3634E-05
(50,75]	3.03232E-05
(50,75]	2.56679E-05
(50,75]	2.60934E-05
(50,75]	2.66034E-05
(50,75]	2.70998E-05
(50,75]	2.78129E-05
(75,103]	5.58718E-05
(75,103]	5.61615E-05
(75,103]	0.000134409
(75,103]	6.12715E-05
(75,103]	6.92791E-05
(75,103]	5.59866E-05
(75,103]	7.09073E-05
(75,103]	3.2266E-05
(75,103]	6.65124E-05
(75,103]	3.41054E-05
(75,103]	3.45964E-05
(75,103]	3.60502E-05
(75,103]	3.51156E-05
(75,103]	3.36342E-05
(75,103]	2.93931E-05
(50,75]	3.30285E-05
(50,75]	3.30648E-05
(50,75]	3.16307E-05
(50,75]	3.75791E-05
(50,75]	3.42898E-05
(75,103]	3.22113E-05
(75,103]	5.44366E-05
(75,103]	3.53664E-05
(75,103]	3.4214E-05
(75,103]	3.21599E-05
(75,103]	3.32817E-05
(75,103]	3.0003E-05
(75,103]	3.51043E-05
(75,103]	3.37518E-05
(75,103]	3.33428E-05
(75,103]	3.44452E-05
(75,103]	3.47597E-05
(75,103]	3.68057E-05
(75,103]	3.14042E-05
(75,103]	6.19236E-05
(75,103]	3.71112E-05
(75,103]	3.41385E-05
(75,103]	3.27336E-05
(75,103]	2.95517E-05
(75,103]	3.10956E-05
(75,103]	3.12634E-05
(75,103]	3.1285E-05
(75,103]	3.36852E-05
(75,103]	3.49093E-05
(75,103]	3.50381E-05
(75,103]	3.44356E-05
(75,103]	2.96508E-05
(75,103]	5.92041E-05
(75,103]	7.2701E-05
(75,103]	6.28733E-05
(75,103]	7.74753E-05
(75,103]	3.38531E-05
(75,103]	7.72653E-05
(75,103]	3.37632E-05
(75,103]	3.57716E-05
(75,103]	3.51802E-05
(75,103]	3.70734E-05
(75,103]	3.6716E-05
(75,103]	3.38168E-05
(75,103]	4.2768E-05
(75,103]	3.65137E-05
(75,103]	4.05456E-05
(75,103]	3.31544E-05
(75,103]	3.6732E-05
(75,103]	3.05656E-05
(75,103]	3.5808E-05
(75,103]	3.26617E-05
(75,103]	3.36556E-05
(75,103]	3.31226E-05
(75,103]	3.1822E-05
(75,103]	3.37986E-05
(75,103]	3.0577E-05
(75,103]	3.52831E-05
(75,103]	3.42024E-05
(75,103]	3.27846E-05
(75,103]	3.59403E-05
(75,103]	3.55215E-05
(75,103]	3.59457E-05
(75,103]	3.51443E-05
(75,103]	3.18641E-05
(75,103]	2.86924E-05
(75,103]	3.15841E-05
(75,103]	3.29842E-05
(75,103]	3.07963E-05
(75,103]	3.3167E-05
(75,103]	3.24709E-05
(75,103]	3.28296E-05
(75,103]	3.19047E-05
(75,103]	2.97824E-05
(25,50]	3.14913E-05
(25,50]	3.34452E-05
(25,50]	3.39985E-05
(50,75]	3.27568E-05
(50,75]	3.05871E-05
(50,75]	3.59942E-05
(50,75]	3.23693E-05
(75,103]	2.7204E-05
(75,103]	3.41898E-05
(75,103]	2.9772E-05
(75,103]	3.16408E-05
(75,103]	3.04387E-05
(75,103]	3.19249E-05
(75,103]	3.27543E-05
(75,103]	2.55888E-05
(50,75]	3.08528E-05
(50,75]	3.60516E-05
(50,75]	3.34045E-05
CB	5.0159E-05
CB	4.6566E-05
CB	4.54032E-05
CB	4.46117E-05
CB	4.56724E-05
CB	4.2394E-05
CB	4.3439E-05
CB	4.71696E-05
CB	4.42078E-05
CB	4.3995E-05
CB	4.44839E-05
CB	4.24927E-05
CB	4.29012E-05
CB	4.30476E-05
CB	4.18547E-05
CB	4.15728E-05
CB	3.93043E-05
CB	3.92866E-05
CB	4.19055E-05
CB	4.18444E-05
CB	3.82157E-05
CB	3.94503E-05
CB	4.14668E-05
CB	3.83026E-05
CB	3.91072E-05
CB	3.9306E-05
CB	4.21923E-05
CB	3.7718E-05
(75,103]	3.10802E-05
(75,103]	3.0754E-05
(75,103]	3.51941E-05
(75,103]	3.27529E-05
(75,103]	3.26253E-05
(75,103]	3.37286E-05
(75,103]	3.19824E-05
(75,103]	3.40778E-05
(75,103]	3.2524E-05
(75,103]	3.3623E-05
(75,103]	3.66856E-05
(75,103]	3.80998E-05
(75,103]	2.94483E-05
(75,103]	3.30257E-05
(75,103]	3.53713E-05
(75,103]	3.5617E-05
(75,103]	3.33725E-05
(75,103]	2.87808E-05
(75,103]	3.55712E-05
(75,103]	3.71177E-05
(75,103]	3.76756E-05
(75,103]	3.20681E-05
(75,103]	3.71638E-05
(75,103]	3.52255E-05
(75,103]	3.23428E-05
(50,75]	3.41685E-05
(50,75]	3.24436E-05
(50,75]	3.80005E-05
(75,103]	3.70553E-05
(75,103]	3.14677E-05
(75,103]	3.16106E-05
